,largeur mm,hauteur mm,longueur m,cubage,prix pièce,,prix m3 72mm,,fournisseur,Nom,Référence,Catégorie,Essence
LC,110,225,8,"0,198","138,60 €",,700,,LCCO,110x225mm 8m Lamellés,L110X225/8m,LAMELLES,Lamellés
LC,110,225,9,"0,22275","155,93 €",,700,,LCCO,110x225mm 9m Lamellés,L110X225/9m,LAMELLES,Lamellés
LC,110,225,10,"0,2475","173,25 €",,700,,LCCO,110x225mm 10m Lamellés,L110X225/10m,LAMELLES,Lamellés
LC,110,225,11,"0,27225","190,58 €",,700,,LCCO,110x225mm 11m Lamellés,L110X225/11m,LAMELLES,Lamellés
LC,110,225,12,"0,297","207,90 €",,700,,LCCO,110x225mm 12m Lamellés,L110X225/12m,LAMELLES,Lamellés
LC,110,225,13,"0,32175","225,23 €",,700,,LCCO,110x225mm 13m Lamellés,L110X225/13m,LAMELLES,Lamellés
LC,110,270,2,"0,0594","41,58 €",,700,,LCCO,110x270mm 2m Lamellés,L110X270/2m,LAMELLES,Lamellés
LC,110,270,3,"0,0891","62,37 €",,700,,LCCO,110x270mm 3m Lamellés,L110X270/3m,LAMELLES,Lamellés
LC,110,270,4,"0,1188","83,16 €",,700,,LCCO,110x270mm 4m Lamellés,L110X270/4m,LAMELLES,Lamellés
LC,110,270,5,"0,1485","103,95 €",,700,,LCCO,110x270mm 5m Lamellés,L110X270/5m,LAMELLES,Lamellés
LC,110,270,6,"0,1782","124,74 €",,700,,LCCO,110x270mm 6m Lamellés,L110X270/6m,LAMELLES,Lamellés
LC,110,270,7,"0,2079","145,53 €",,700,,LCCO,110x270mm 7m Lamellés,L110X270/7m,LAMELLES,Lamellés
LC,110,270,8,"0,2376","166,32 €",,700,,LCCO,110x270mm 8m Lamellés,L110X270/8m,LAMELLES,Lamellés
LC,110,270,9,"0,2673","187,11 €",,700,,LCCO,110x270mm 9m Lamellés,L110X270/9m,LAMELLES,Lamellés
LC,110,270,10,"0,297","207,90 €",,700,,LCCO,110x270mm 10m Lamellés,L110X270/10m,LAMELLES,Lamellés
LC,110,270,11,"0,3267","228,69 €",,700,,LCCO,110x270mm 11m Lamellés,L110X270/11m,LAMELLES,Lamellés
LC,110,270,12,"0,3564","249,48 €",,700,,LCCO,110x270mm 12m Lamellés,L110X270/12m,LAMELLES,Lamellés
LC,110,270,13,"0,3861","270,27 €",,700,,LCCO,110x270mm 13m Lamellés,L110X270/13m,LAMELLES,Lamellés
LC,110,315,2,"0,0693","48,51 €",,700,,LCCO,110x315mm 2m Lamellés,L110X315/2m,LAMELLES,Lamellés
LC,110,315,3,"0,10395","72,77 €",,700,,LCCO,110x315mm 3m Lamellés,L110X315/3m,LAMELLES,Lamellés
LC,110,315,4,"0,1386","97,02 €",,700,,LCCO,110x315mm 4m Lamellés,L110X315/4m,LAMELLES,Lamellés
LC,110,315,5,"0,17325","121,28 €",,700,,LCCO,110x315mm 5m Lamellés,L110X315/5m,LAMELLES,Lamellés
LC,110,315,6,"0,2079","145,53 €",,700,,LCCO,110x315mm 6m Lamellés,L110X315/6m,LAMELLES,Lamellés
LC,110,315,7,"0,24255","169,79 €",,700,,LCCO,110x315mm 7m Lamellés,L110X315/7m,LAMELLES,Lamellés
LC,110,315,8,"0,2772","194,04 €",,700,,LCCO,110x315mm 8m Lamellés,L110X315/8m,LAMELLES,Lamellés
LC,110,315,9,"0,31185","218,30 €",,700,,LCCO,110x315mm 9m Lamellés,L110X315/9m,LAMELLES,Lamellés
LC,110,315,10,"0,3465","242,55 €",,700,,LCCO,110x315mm 10m Lamellés,L110X315/10m,LAMELLES,Lamellés
LC,110,315,11,"0,38115","266,81 €",,700,,LCCO,110x315mm 11m Lamellés,L110X315/11m,LAMELLES,Lamellés
LC,110,315,12,"0,4158","291,06 €",,700,,LCCO,110x315mm 12m Lamellés,L110X315/12m,LAMELLES,Lamellés
LC,110,315,13,"0,45045","315,32 €",,700,,LCCO,110x315mm 13m Lamellés,L110X315/13m,LAMELLES,Lamellés
LC,110,360,2,"0,0792","55,44 €",,700,,LCCO,110x360mm 2m Lamellés,L110X360/2m,LAMELLES,Lamellés
LC,110,360,3,"0,1188","83,16 €",,700,,LCCO,110x360mm 3m Lamellés,L110X360/3m,LAMELLES,Lamellés
LC,110,360,4,"0,1584","110,88 €",,700,,LCCO,110x360mm 4m Lamellés,L110X360/4m,LAMELLES,Lamellés
LC,110,360,5,"0,198","138,60 €",,700,,LCCO,110x360mm 5m Lamellés,L110X360/5m,LAMELLES,Lamellés
